ts_ms,a_bid,a_ask,b_bid,b_ask,depth_a,depth_b
1700000000000,49999.207865224715,50000.84134090958,51604.84266045274,51606.92417556968,0.3264133258027846,0.2916614140396979
1700000000500,50004.39479929368,50007.604228340955,50430.142979164164,50434.53109398005,0.17714530385908234,0.8084840408720426
1700000001000,49999.282036206154,50001.75147721399,51897.871554238816,51901.0841477569,0.13840338399020471,0.06326661405367635
1700000001500,49981.38931446036,49984.0205254095,51248.56230217368,51252.52513086966,0.6140759097551214,0.7799760087343433
1700000002000,49972.98226145544,49974.24074700754,51256.866277975125,51259.8496678303,0.8080657582637691,0.09847889439504516
1700000002500,49952.72384528447,49954.833300978666,50339.30403062801,50343.170424919816,0.04476046916867005,0.6193718107809625
1700000003000,49953.49169214824,49956.47119821878,51022.57531234383,51025.17393126422,0.3300715338007297,0.2785046866463276
1700000003500,49979.84152350756,49983.72997668165,50934.57515413367,50938.04333400404,0.17697933875800706,0.4884131929674577
1700000004000,49969.94660642887,49973.93663301828,51441.668225294496,51445.86644024695,0.8605266234085273,0.8350066316062944
1700000004500,49958.07228496468,49960.99195848968,50367.35900883171,50370.91309620959,0.1450915048778893,0.7237449511301172
1700000005000,49967.9236069095,49970.73431855227,51504.90201200162,51507.85347971889,0.08968685183897863,0.11627160364420065
1700000005500,49975.38204248759,49977.551363300576,51567.87080642938,51570.06680663204,0.6981855270786355,0.29552445701924174
1700000006000,49976.873809625555,49980.27616612254,50636.61563455282,50640.31679410721,0.8991016870679103,0.454581706017591
1700000006500,49958.58941598013,49961.34183797963,50988.690469652225,50992.60440425847,0.7032090825730364,0.6536331375818301
1700000007000,49957.57764826104,49961.18353280019,50813.9243510506,50817.11431971078,0.1297072807025729,0.03487118292360916
1700000007500,49970.91081101772,49975.662497821846,52151.54403425546,52154.12084985835,0.38484570338143936,0.7816183832675426
1700000008000,49944.91855095271,49947.88617599545,49548.55359497035,49552.704694610686,0.48242275889291913,0.7623992206896615
1700000008500,49936.49872549036,49938.00137101618,51174.95801132771,51181.43608785832,0.8119005760023017,0.8618936517209228
1700000009000,49898.15601867877,49900.29516823574,50151.748853237084,50154.88589886198,0.6854039087914838,0.20614432853372777
1700000009500,49872.663912382224,49874.20576494088,51044.75166041784,51048.655747751545,0.08222007242185188,0.21551099395799947
1700000010000,49835.698692750426,49837.501583061014,51962.70197351745,51966.65484509685,0.4241443948496254,0.7545822305599703
1700000010500,49829.74567992248,49834.05095064597,50855.2767863889,50855.69702855253,0.70741992031547,0.4778065639247121
1700000011000,49804.936055868624,49808.16271544208,51402.31143601475,51405.960070829206,0.5025496523561376,0.2433551291236155
1700000011500,49811.23476004758,49812.714585616006,50673.80930245176,50676.46148000896,0.6100865271171897,0.04477882730207744
1700000012000,49813.28287848126,49816.93651064728,52756.215255070056,52761.37688065067,0.8716443922354838,0.2184363708106942
1700000012500,49809.240888234635,49813.501263108716,51986.42801762994,51989.62323464463,0.8814217071522775,0.6172786672383282
1700000013000,49759.71581873398,49762.35594417654,52093.936644804846,52096.50360183756,0.7580953474129811,0.6675546968997583
1700000013500,49749.1000189579,49751.42402811876,50249.99036750111,50253.228168297814,0.5275750627936064,0.33820752753826355
1700000014000,49747.96069348655,49750.62331577407,50418.25241421171,50421.95228748142,0.29759498553668634,0.8283417199504041
1700000014500,49749.91588109525,49753.2004876055,52048.48518003205,52051.31329334737,0.1689293944050358,0.4734256643543744
1700000015000,49719.13548396514,49722.77545411539,51065.90315585054,51069.339960515324,0.17571101251007415,0.48028123049374444
1700000015500,49709.30929510057,49713.49151193861,51009.47991607657,51011.35492427871,0.5872329295884035,0.37333727148602486
1700000016000,49689.7237828555,49693.93626106141,51429.764628972065,51432.99432483578,0.7024326834964408,0.38089652484921893
1700000016500,49673.56057524583,49677.745979094056,50228.4313965832,50232.86220403451,0.777064263905862,0.3423176449869066
